model,metric,dataset,slope,p_val
eurollm,MSP,wmt14_deen,0.3592346556807435,7.826013860484121e-193
eurollm,PPL,wmt14_deen,-0.08262164049991497,7.334437259537967e-10
eurollm,MTE,wmt14_deen,-0.11668365197980941,6.045714851303486e-18
eurollm,MCSE,wmt14_deen,0.34032784134839034,4.36879082797692e-177
eurollm,MCNSE,wmt14_deen,-0.024700876127377,0.10870046850977232
eurollm,LSRL,wmt14_deen,0.01065325070806492,0.5526954007365532
eurollm,MSP,wmt14_fren,0.36847605187145027,2.7424314963545774e-200
eurollm,PPL,wmt14_fren,-0.1211231874678338,2.1662025232775782e-19
eurollm,MTE,wmt14_fren,-0.14103948725868928,3.5910806261472514e-33
eurollm,MCSE,wmt14_fren,0.16895834913635807,2.852864091985018e-168
eurollm,MCNSE,wmt14_fren,-0.04215768603831157,0.0020787861029845332
eurollm,LSRL,wmt14_fren,0.0002846787436643112,0.9876194961375382
eurollm,MSP,wmt14_csen,0.2988590720034108,1.6396098120542012e-264
eurollm,PPL,wmt14_csen,-0.05595648577078547,1.1075500031077956e-10
eurollm,MTE,wmt14_csen,-0.0907711714933315,4.1814441965252215e-21
eurollm,MCSE,wmt14_csen,0.42426752425842756,5.121365641982665e-226
eurollm,MCNSE,wmt14_csen,-0.05717080557644271,7.861438037257136e-05
eurollm,LSRL,wmt14_csen,-0.014175838928585533,0.4262848257885874
eurollm,MSP,wmt14_ruen,0.2660418227742247,3.9986801811142376e-222
eurollm,PPL,wmt14_ruen,-0.13620728333407744,6.805325114429383e-52
eurollm,MTE,wmt14_ruen,-0.1948414017617626,1.872648373661631e-80
eurollm,MCSE,wmt14_ruen,0.22671845503211444,1.9420405395872755e-172
eurollm,MCNSE,wmt14_ruen,-0.17095113697176387,9.092493186473449e-45
eurollm,LSRL,wmt14_ruen,-0.16367414586813203,2.468104977299838e-16
eurollm,MSP,wmt19_ruen,0.4514156963369298,0.0
eurollm,PPL,wmt19_ruen,-0.08341867462511299,2.9180112719091066e-16
eurollm,MTE,wmt19_ruen,-0.13741470821900012,4.667441484653249e-40
eurollm,MCSE,wmt19_ruen,0.3628176669640299,5.2436471975828646e-253
eurollm,MCNSE,wmt19_ruen,-0.11530789598226103,5.245106234637219e-16
eurollm,LSRL,wmt19_ruen,-0.09192355369922481,4.996218095143838e-07
eurollm,MSP,wmt19_fien,0.4616050977649561,1.5503869912815802e-258
