Metric,Dataset,Model,Method,ScoreType,Score
Comet WMT22,wmt14_fren,EuroLLM 9B,LSRL,Raw,0.2922287530582597
Comet WMT22,wmt14_fren,EuroLLM 9B,LSRL,Detrended,0.2925852573301592
Comet WMT22,wmt19_deen,EuroLLM 9B,MSP,Raw,0.40069959927473187
Comet WMT22,wmt19_deen,EuroLLM 9B,MSP,Detrended,0.438528110759187
Comet WMT22,wmt19_deen,EuroLLM 9B,PPL,Raw,0.5155446385986024
Comet WMT22,wmt19_deen,EuroLLM 9B,PPL,Detrended,0.5997773025580875
Comet WMT22,wmt19_deen,EuroLLM 9B,MTE,Raw,0.5110970489520962
Comet WMT22,wmt19_deen,EuroLLM 9B,MTE,Detrended,0.6373550868895972
Comet WMT22,wmt19_deen,EuroLLM 9B,MCSE,Raw,0.41402781758446267
Comet WMT22,wmt19_deen,EuroLLM 9B,MCSE,Detrended,0.47516067044214266
Comet WMT22,wmt19_deen,EuroLLM 9B,MCNSE,Raw,0.3378522161280529
Comet WMT22,wmt19_deen,EuroLLM 9B,MCNSE,Detrended,0.34336265814566885
Comet WMT22,wmt19_deen,EuroLLM 9B,LSRL,Raw,0.40434975539859763
Comet WMT22,wmt19_deen,EuroLLM 9B,LSRL,Detrended,0.41732175918274633
Comet WMT22,wmt19_fien,EuroLLM 9B,MSP,Raw,0.16244145579133945
Comet WMT22,wmt19_fien,EuroLLM 9B,MSP,Detrended,0.3974645451958901
Comet WMT22,wmt19_fien,EuroLLM 9B,PPL,Raw,0.48416355098725994
Comet WMT22,wmt19_fien,EuroLLM 9B,PPL,Detrended,0.4864182037800175
Comet WMT22,wmt19_fien,EuroLLM 9B,MTE,Raw,0.5117610685909972
Comet WMT22,wmt19_fien,EuroLLM 9B,MTE,Detrended,0.5212404369163036
Comet WMT22,wmt19_fien,EuroLLM 9B,MCSE,Raw,0.21142702409011477
Comet WMT22,wmt19_fien,EuroLLM 9B,MCSE,Detrended,0.4016238591000353
Comet WMT22,wmt19_fien,EuroLLM 9B,MCNSE,Raw,0.35511884556999507
Comet WMT22,wmt19_fien,EuroLLM 9B,MCNSE,Detrended,0.3477882215564077
Comet WMT22,wmt19_fien,EuroLLM 9B,LSRL,Raw,0.3467080779853919
Comet WMT22,wmt19_fien,EuroLLM 9B,LSRL,Detrended,0.35419039726301793
Comet WMT22,wmt19_lten,EuroLLM 9B,MSP,Raw,0.27658473447950394
Comet WMT22,wmt19_lten,EuroLLM 9B,MSP,Detrended,0.32986409245796416
Comet WMT22,wmt19_lten,EuroLLM 9B,PPL,Raw,0.35689628849859456
Comet WMT22,wmt19_lten,EuroLLM 9B,PPL,Detrended,0.4154684420983814
