Metric,Dataset,Model,Method,ScoreType,Score
MetricX-XXL,wmt14_csen,Gemma 2 9B,MCSE,Raw,0.11043036660721543
MetricX-XXL,wmt14_csen,Gemma 2 9B,MCSE,Detrended,0.3076370325555125
MetricX-XXL,wmt14_csen,Gemma 2 9B,MCNSE,Raw,0.38286385371253284
MetricX-XXL,wmt14_csen,Gemma 2 9B,MCNSE,Detrended,0.3832919278968765
MetricX-XXL,wmt14_csen,Gemma 2 9B,LSRL,Raw,0.34627293301714945
MetricX-XXL,wmt14_csen,Gemma 2 9B,LSRL,Detrended,0.34647158813466866
MetricX-XXL,wmt14_deen,Gemma 2 9B,MSP,Raw,0.21937044258876592
MetricX-XXL,wmt14_deen,Gemma 2 9B,MSP,Detrended,0.4461927329826481
MetricX-XXL,wmt14_deen,Gemma 2 9B,PPL,Raw,0.4711480119748819
MetricX-XXL,wmt14_deen,Gemma 2 9B,PPL,Detrended,0.4785788681526844
MetricX-XXL,wmt14_deen,Gemma 2 9B,MTE,Raw,0.4749302851952612
MetricX-XXL,wmt14_deen,Gemma 2 9B,MTE,Detrended,0.4947367268969127
MetricX-XXL,wmt14_deen,Gemma 2 9B,MCSE,Raw,0.15450863276785132
MetricX-XXL,wmt14_deen,Gemma 2 9B,MCSE,Detrended,0.35941875370017035
MetricX-XXL,wmt14_deen,Gemma 2 9B,MCNSE,Raw,0.43089036627225524
MetricX-XXL,wmt14_deen,Gemma 2 9B,MCNSE,Detrended,0.43034005526406904
